educ,delta,p,transition,age,effect,cc,rate_effect,cc_total
basic,-9.516e-4,0.0014051,HD,60.5,-12.556549104267676,0.01194881212762112,0.6924266070508835,0.0014132176760335857
basic,-9.708000000000001e-4,0.0014308,HD,60.75,-12.371020734297158,0.012009786928855681,0.6924266070508835,0.0014204293273656979
basic,-9.905e-4,0.00145715,HD,61,-12.186629793630898,0.012070856810591404,0.6924266070508835,0.0014276522241206562
basic,-0.0010106999999999998,0.00148425,HD,61.25,-12.003386984292522,0.01213182322502445,0.6924266070508835,0.0014348628835235274
basic,-0.0010313,0.00151205,HD,61.5,-11.821303566858866,0.012191310368501547,0.6924266070508835,0.0014418985856302032
basic,-0.0010523,0.00154055,HD,61.75,-11.64039014502308,0.012249182549607785,0.6924266070508835,0.0014487432818574455
basic,-0.0010738,0.0015698,HD,62,-11.460657280136907,0.01230645378741101,0.6924266070508835,0.0014555169029276725
basic,-0.0010958,0.0015999,HD,62.25,-11.282117187237393,0.012362944013774736,0.6924266070508835,0.0014621981517051817
basic,-0.0011182999999999998,0.0016307499999999998,HD,62.5,-11.104778030044164,0.012418473270998386,0.6924266070508835,0.0014687657441158177
basic,-0.0011413000000000003,0.00166235,HD,62.75,-10.928651340522718,0.012472869774938581,0.6924266070508835,0.0014751993627936952
basic,-0.0011648,0.0016949,HD,63,-10.753749056352246,0.012525966900839096,0.6924266070508835,0.0014814793005873215
basic,-0.0011889000000000001,0.00172825,HD,63.25,-10.580079766889751,0.012578656834855227,0.6924266070508835,0.0014877110787176774
basic,-0.0012135,0.0017625499999999999,HD,63.5,-10.407654705218564,0.012629688984782726,0.6924266070508835,0.0014937467863305558
basic,-0.0012387000000000001,0.00179775,HD,63.75,-10.236484447342578,0.012679933284923253,0.6924266070508835,0.0014996893128612384
basic,-0.0012645,0.00183395,HD,64,-10.066579463036778,0.012729189731010006,0.6924266070508835,0.0015055150032750565
basic,-0.0012908000000000002,0.0018711,HD,64.25,-9.897948619873725,0.012776272078533006,0.6924266070508835,0.001511083557290133
basic,-0.0013178,0.0019093,HD,64.5,-9.730603206226062,0.012822988905164706,0.6924266070508835,0.001516608880180724
basic,-0.0013454000000000003,0.0019485000000000001,HD,64.75,-9.564551918295926,0.012868148150875341,0.6924266070508835,0.001521949983848015
basic,-0.0013736000000000002,0.0019888,HD,65,-9.399805780147771,0.01291157321961098,0.6924266070508835,0.0015270859818087093
basic,-0.0014024,0.0020302000000000002,HD,65.25,-9.236373763225739,0.012953090565547777,0.6924266070508835,0.0015319963483383038
basic,-0.0014318999999999998,0.00207275,HD,65.5,-9.074265677839058,0.012993441024097746,0.6924266070508835,0.001536768704004275
basic,-0.0014621000000000002,0.00211645,HD,65.75,-8.913490742423457,0.013032414814497338,0.6924266070508835,0.001541378237479775
